Player,Year,Games Played,Win Share
Cameron Payne,2024,405,11.9
Gary Payton II,2024,208,8.9
Mãozinha Pereira,2024,7,0.3
Drew Peterson,2024,3,0.1
Filip Petrušev,2024,3,0.0
Julian Phillips,2024,40,0.2
Jalen Pickett,2024,27,0.2
Scotty Pippen Jr.,2024,27,1.0
Mason Plumlee,2024,786,54.1
Brandin Podziemski,2024,74,4.1
Jakob Poeltl,2024,538,38.7
Aleksej Pokusevski,2024,168,-0.10000000000000009
Jordan Poole,2024,344,9.3
Craig Porter Jr.,2024,51,1.5
Jontay Porter,2024,37,0.7
Michael Porter Jr.,2024,268,20.1
Otto Porter Jr.,2024,527,36.7
Bobby Portis,2024,605,31.2
Kristaps Porziņģis,2024,459,42.800000000000004
Micah Potter,2024,26,0.5
Dwight Powell,2024,650,46.2
Norman Powell,2024,557,27.099999999999998
Jason Preston,2024,21,0.1
Joshua Primo,2024,56,-0.2
Taurean Prince,2024,502,11.6
Payton Pritchard,2024,267,12.299999999999999
Olivier-Maxence Prosper,2024,40,0.5
Trevelin Queen,2024,31,0.1
Neemias Queta,2024,48,2.0
Immanuel Quickley,2024,291,18.8
Lester Quinones,2024,41,0.6
Jahmi'us Ramsey,2024,39,0.0
Julius Randle,2024,641,43.199999999999996
Duop Reath,2024,68,2.4
Austin Reaves,2024,207,14.200000000000001
Cam Reddish,2024,221,2.5
Paul Reed,2024,215,9.799999999999999
Naz Reid,2024,326,15.100000000000001
Jared Rhoden,2024,31,0.4
Nick Richards,2024,200,10.3
Josh Richardson,2024,546,27.599999999999998
Duncan Robinson,2024,349,17.2
Jerome Robinson,2024,135,-0.19999999999999998
Mitchell Robinson,2024,320,33.8
Orlando Robinson,2024,67,2.0
Jeremiah Robinson-Earl,2024,131,4.0
David Roddy,2024,135,1.2000000000000002
Ryan Rollins,2024,25,0.0
Derrick Rose,2024,723,44.6
Terry Rozier,2024,601,29.499999999999996
Rayan Rupert,2024,39,-0.1
D'Angelo Russell,2024,571,24.7
Matt Ryan,2024,63,0.8
Domantas Sabonis,2024,576,59.8
Luka Šamanić,2024,86,0.1
Jermaine Samuels,2024,14,0.2
Adama Sanogo,2024,9,0.2
Gui Santos,2024,23,0.7
Dario Šarić,2024,477,20.9
Olivier Sarr,2024,46,1.6
Marcus Sasser,2024,71,0.9
Admiral Schofield,2024,131,1.2000000000000002
Dennis Schröder,2024,767,29.6
Dereon Seabron,2024,11,0.1
Alperen Sengun,2024,210,14.200000000000001
Brice Sensabaugh,2024,32,-0.3
Collin Sexton,2024,344,13.3
Landry Shamet,2024,348,12.1
Day'Ron Sharpe,2024,141,5.7
Shaedon Sharpe,2024,112,1.7
Ben Sheppard,2024,57,0.8
Pascal Siakam,2024,551,48.00000000000001
Ben Simmons,2024,332,33.5
Kobi Simmons,2024,42,-0.1
Anfernee Simons,2024,319,8.7
Zavier Simpson,2024,11,-0.30000000000000004
Jericho Sims,2024,138,5.6
Dmytro Skapintsev,2024,2,0.0
Jalen Slawson,2024,12,0.0
Javonte Smart,2024,18,-0.2
Marcus Smart,2024,601,33.4
Dennis Smith Jr.,2024,326,2.3000000000000007
Dru Smith,2024,24,0.6
Ish Smith,2024,805,13.8
Jabari Smith Jr.,2024,155,7.5
Jalen Smith,2024,207,9.2
Nick Smith Jr.,2024,51,-0.5
Terquavion Smith,2024,16,0.1
Jeremy Sochan,2024,130,1.5999999999999999
Pat Spencer,2024,6,0.0
Jaden Springer,2024,67,0.8999999999999999
Lamar Stevens,2024,203,4.700000000000001
Isaiah Stewart,2024,235,11.1
Julian Strawther,2024,50,0.2
Max Strus,2024,259,11.8
Jalen Suggs,2024,176,4.5
Cole Swider,2024,25,0.0
Jae'Sean Tate,2024,244,9.3
Jayson Tatum,2024,513,55.8
Terry Taylor,2024,95,3.0
Garrett Temple,2024,743,16.6
Dalen Terry,2024,97,1.3
Daniel Theis,2024,373,22.3
Cam Thomas,2024,190,4.3
Isaiah Thomas,2024,556,45.2
Amen Thompson,2024,62,4.3
Ausar Thompson,2024,63,1.8
Klay Thompson,2024,793,55.30000000000001
